"Date","Price","Open","High","Low","Change %"
"Oct 17","2.325","2.339","2.371","2.318","-0.61"
"Sep 17","2.339","2.127","2.359","2.016","10.33"
"Aug 17","2.120","2.303","2.321","2.086","-7.67"
"Jul 17","2.296","2.314","2.398","2.225","-0.35"
"Jun 17","2.304","2.213","2.309","2.103","4.44"
"May 17","2.206","2.282","2.423","2.181","-3.63"
"Apr 17","2.289","2.396","2.405","2.165","-4.19"
"Mar 17","2.389","2.415","2.629","2.348","-0.33"
"Feb 17","2.397","2.461","2.524","2.310","-2.80"
"Jan 17","2.466","2.439","2.555","2.305","0.82"
"Dec 16","2.446","2.397","2.641","2.340","2.34"
"Nov 16","2.390","1.838","2.417","1.716","30.96"
"","","","","",""
"","Highest:2.641","Lowest:1.716","Difference:0.925","Average:2.331","Change %:27.381"
